NAME,MASS,MASSUPPER,MASSLOWER,UMASS,R,RUPPER,RLOWER,UR,A,AUPPER,ALOWER,UA,PER,PERUPPER,PERLOWER,UPER,ECC,ECCUPPER,ECCLOWER,UECC,DENSITY,DENSITYUPPER,DENSITYLOWER,UDENSITY,MSTAR,MSTARUPPER,MSTARLOWER,UMSTAR,RSTAR,RSTARUPPER,RSTARLOWER,URSTAR,LOGG,LOGGUPPER,LOGGLOWER,ULOGG,TEFF,TEFFUPPER,TEFFLOWER,UTEFF,FE,FEUPPER,FELOWER,UFE,TRANSITREF,TRANSITURL
,mjupiter,mjupiter,mjupiter,mjupiter,rjupiter,rjupiter,rjupiter,rjupiter,au,au,au,au,day,day,day,day,,,,,g/cm^3,g/cm^3,g/cm^3,g/cm^3,msun,msun,msun,msun,rsun,rsun,rsun,rsun,,,,,k,k,k,k,,,,,,
Kepler-406 b,0.0199792,0.0044049,0.0044049,0.0044049,0.127576,0.0026764,0.0026764,0.0026764,0.0361437,,,,2.42629,,,,0,,,,11.82,2.7,2.7,2.7,1.07,0.06,0.06,0.06,1.07,0.02,0.02,0.02,4.409,0.02,0.02,0.02,5538,75,75,75,0.18,0.07,0.07,0.07,Marcy 2014,http://adsabs.harvard.edu/abs/2014ApJS..210...20M
Kepler-334 b,0.00436179,0.00227866,0.00227866,0.00227866,0.0999197,0.0187349,0.0187349,0.0187349,0.0607596,0.00101266,0.00101266,0.00101266,5.470319,0.000021,0.000021,0.000021,,,,,,,,,,,,,1.068,0.194,0.194,0.194,4.385,0.15,0.15,0.15,5828,100,100,100,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-334 d,0.00960182,0.00481678,0.00481678,0.00481678,0.125792,0.0231956,0.0231956,0.0231956,0.167766,0.00279611,0.00279611,0.00279611,25.09849,0.000142,0.000142,0.000142,,,,,,,,,,,,,1.068,0.194,0.194,0.194,4.385,0.15,0.15,0.15,5828,100,100,100,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-24 c,0.0236121,0.0236121,0.0236121,0.0236121,0.249577,,,,0.105496,0.00426764,0.00426764,0.00426764,12.3318,0.00034,0.00034,0.00034,0,,,,,,,,1.03,0.11,0.14,0.125,1.07,0.16,0.23,0.195,4.34,0.3,0.3,0.3,5800,200,200,200,-0.24,0.004,0.004,0.004,Ford 2012,http://adsabs.harvard.edu/abs/2012ApJ...750..113F
Kepler-178 c,0.0248763,0.0126339,0.0126339,0.0126339,0.256936,0.109733,0.109733,0.109733,0.146843,0.00244739,0.00244739,0.00244739,20.552802,0.000066,0.000066,0.000066,,,,,,,,,,,,,1.066,0.454,0.454,0.454,4.334,0.3,0.3,0.3,5676,200,200,200,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-355 b,0.0107805,0.00946002,0.00946002,0.00946002,0.130252,0.0588813,0.0588813,0.0588813,0.0969854,0.00161642,0.00161642,0.00161642,11.03189,0.000338,0.000338,0.000338,,,,,,,,,,,,,1.066,0.478,0.478,0.478,4.441,0.3,0.3,0.3,6184,250,250,250,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-172 c,0.0245625,0.00677515,0.00677515,0.00677515,0.255152,0.0472834,0.0472834,0.0472834,0.0673847,0.00112308,0.00112308,0.00112308,6.388996,0.00002,0.00002,0.00002,,,,,,,,,,,,,1.085,0.191,0.191,0.191,4.375,0.15,0.15,0.15,5526,100,100,100,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-172 d,0.0169862,0.00336504,0.00336504,0.00336504,0.200732,0.0356856,0.0356856,0.0356856,0.117052,0.00195087,0.00195087,0.00195087,14.627119,0.000105,0.000105,0.000105,,,,,,,,,,,,,1.085,0.191,0.191,0.191,4.375,0.15,0.15,0.15,5526,100,100,100,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
HAT-P-15 b,1.95154,0.0755914,0.0755914,0.0755914,1.072,0.043,0.043,0.043,0.0964692,0.00160782,0.00160782,0.00160782,10.863502,0.000027,0.000027,0.000027,0.19,0.019,0.019,0.019,1.96,0.22,0.22,0.22,1.013,0.043,0.043,0.043,1.08,0.039,0.039,0.039,4.38,0.03,0.03,0.03,5568,90,90,90,0.22,0.08,0.08,0.08,Kovacs 2010,http://adsabs.harvard.edu/abs/2010ApJ...724..866K
Kepler-172 b,0.0179955,0.00377474,0.00377474,0.00377474,0.209653,0.0374699,0.0374699,0.0374699,0.0401669,0.000669449,0.000669449,0.000669449,2.940309,0.000007,0.000007,0.000007,,,,,,,,,,,,,1.085,0.191,0.191,0.191,4.375,0.15,0.15,0.15,5526,100,100,100,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
